Taxon,BasidiosporeType,BasidiosporeShape,BasidiosporeApex,BasidiosporeLength,BasidiosporeWidth,Qvalue,BasidiosporeOrnamentation,BasidiaShape,BasidiaLength,BasidiaWidth,BasidiaSpored,CheilocystidiaPresence,CheilocystidiaShape,CheilocystidiaLength,CheilocystidiaWidth,CheilocystidiaOxalateCrystals,CheilocystidiaWallThickness,CheilocystidiaAmmoniacalTest,ParacystidiaPresence,ParacystidiaShape,ParacystidiaLength,ParacystidiaWidth,PleurocystidiaPresence,PleurocystidiaShape,PleurocystidiaLength,PleurocystidiaWidth,PleurocystidiaOxalateCrystals,PleurocystidiaWallThickness,PleurocystidiaAmmoniacalTest,ApexCaulocystidiaPresence,ApexCaulocystidiaShape,ApexCaulocystidiaLength,ApexCaulocystidiaWidth,ApexCaulocystidiaOxalateCrystals,ApexCaulocystidiaWallThickness,ApexCaulocystidiaAmmoniacalTest,MedianCaulocystidiaPresence,MedianCaulocystidiaShape,MedianCaulocystidiaLength,MedianCaulocystidiaWidth,MedianCaulocystidiaOxalateCrystals,MedianCaulocystidiaWallThickness,MedianCaulocystidiaAmmoniacalTest,Cauloparacystidia,MacroChemical,Habitat,TreesUnder,PileusDiameterX,PileusDiameterY,BaseOfTheStipe,HydrogenPotential,Sosie,Odor,Subgenera,Section,Subsection,DistinctiveFeatures1,ReferencesSources1,DistinctiveFeatures2,ReferencesSources2,DistinctiveFeatures3,ReferencesSources3
rimosoides Peck,Leiospora,Ellipsoid | Subreniform,Obtuse | Subconical,[7-11],[4.5-6.5],n/a,Smooth,Claviform,[26-35],[8-11],[4-4],Yes,Versiform | Septate,[38-110],[9-18],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Claviform,[25-40],[8-10],No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Conifers | Hardwoods,[10-25],[10-25],Equal,n/a,n/a,Oily spermatic,,,,"Kauffman (loc. cit.) reports I. rimosoides as occuring along the eastern coast of the United States, and west to Michigan, but we find no record of its having been found in Canada. Our specimens are in the lower range of size given by Kauffman, and by Peck in the protolog, and the pileal color is a somewhat deeper yellow. In all other particulars, however, our collection agrees completely with both descriptions. The spores are slightly larger in our material than given by Kauffman, but are the same size as reported by Peck. However, the cystidia that were reported as clavate are superficially but distinctly variable when separated. In 1930 Bresadola (Bresadola, J. 1930. Iconographica Mycologia. Vol. 15. Plates 701-750. Mediolani) described I. fastigiata var. microsperma. The protolog indicates a taxon similar to I. rimosoides, but we have not been able to examine authentic material.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes VI., Mycologia, vol. 73, 1981; p. 665-667",,,,
roseipes Malencon,Leiospora,Subamygdaliform | Amygdaliform,Conical,[8.5-10.5],[5-6.5],[1.6-1.8],Smooth,Claviform,[28-33],[8-10],[4-4],Yes,Cylindrical | Subfusiform | Metuloid,n/a,n/a,Yes | Sparse,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Subfusiform | Metuloid,[53-62],[12-17],Yes | Sparse,[2-3],n/a,Yes,Cylindrical | Subfusiform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,Cylindrical | Subfusiform | Metuloid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Soil,Pine | Cedar,[20-40],[20-40],Equal | Broadened at base,n/a,n/a,Faint spermatic,Inocybe,,,"The macroscopical description of this species has been copied from Malancon & Bertault (Fl. Champ. sup. Maroc 1: 393-396. 1970). Macroscopically it resembles I. sindonia (Fr.) P. Karst., but it differs in having a conspicuous pinkish-reddish stipe, no cortina, and larger spores.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 213-215",,,,
rosellicaularis Grund & D.E. Stuntz,Leiospora,Phaseoliform | Inequilaterally | Ellipsoidal,Obtuse | Subconical,[7-10],[4.5-5],n/a,Pronounced suprahilar dorsal depression,Claviform,[22-33],[8-10],[4-4],Yes,Versiform,[25-77],[9-22],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Versiform,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Conifers | Hardwoods,[10-40],[10-40],Not bulbous,n/a,n/a,Oily spermatic,,,,"In section Rimosae (Earle) Singer there are several taxa with an incarnate stipe, but none with the other features that characterize I. rosellicaularis, i.e., dull red-brown pileus and spores 8-9 microns long. The combination of red-brown pileus and short spores is found in some of the Inocybes related to I. fastigiella Atk., but those species have the stipe some color other than incarnate.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes VII., Mycologia, vol. 75, 1983; p. 265-266",,,,
rufuloides var. exilis Kuyper,Leiospora,Subamygdaliform | Indistinct submedian depression,Obtuse | Subconical,[12-16],[6.5-9],[1.7-2],Smooth,Claviform,n/a,n/a,[4-4],Yes,Fusiform | Claviform | Utriform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Fusiform | Claviform | Utriform | Metuloid,[50-67],[15-22],Yes,[1-2],n/a,Yes,Fusiform | Claviform | Utriform | Metuloid,n/a,n/a,Yes,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,Yes,n/a,Dune-sand | Calcareous,Frondose | Willow,[4-14],[4-14],Equal,n/a,n/a,Faint | Subspermatic,Inocybe,,,n/a,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 110-111",,,,
rufuloides var. rufuloides Bon,Leiospora,Subamygdaliform,Obtuse,[10-13.5],[6-7.5],[1.6-2.1],Smooth,Claviform,[30-38],[9-12],[2-4],Yes,Cylindrical | Claviform | Fusiform | Utriform | Sublageniform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Claviform | Fusiform | Utriform | Sublageniform | Metuloid,[42-74],[13-25],Yes,[1.5-2],n/a,Yes | No,Cylindrical | Claviform | Fusiform | Utriform | Sublageniform | Metuloid,n/a,n/a,Yes,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,n/a,Dune-sand,Pine,[11-34],[11-34],Not bulbous,n/a,n/a,Spermatic,Inocybe,,,"Bon (in Docs mycol. 14 (53) : 28. 1984) reported the spores to be (8.0)9.0-11.0(-13.0) x 5.0-6.5 microns. Upon reexamination of the holotype I found much larger spores, viz. 10.5-13.0 x 6.0-7.5 microns.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 109-110",,,,
rupestris J. Favre,Leiospora,Subamygdaliform,Papilla,[8-11],[5-6],[1.5-1.9],Smooth,Claviform,[29-36],[7-9],[4-4],Yes,Cylindrical | Claviform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Claviform | Metuloid,[49-66],[14-18],Yes,[2-3],n/a,Yes,Cylindrical | Claviform | Metuloid,n/a,n/a,Yes,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Willow,[7-12],[7-12],Equal,n/a,n/a,Spermatic,Inocybe,,,The macroscopical description has been copied from Favre (1. c.). Easily recognised because of its cylindrical pleurocystidia and spores with an apical papilla.,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 128-129",,,,
saliceticola Vauras & Kokkonen,Goniospora,Subangular,Conical | Subconical,[7.2-11.6],[5.1-7.9],[1.1-1.8],"With few, obtuse nodules",Claviform,[25-40],[9-14],[4-4],Yes,Ventricose | Claviform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Ventricose | Claviform | Metuloid,[41-89],[12-23],Yes,[2.5-4.5],n/a,Yes,Ventricose | Claviform | Metuloid,[40-99],n/a,Yes | Sparse | No,n/a,n/a,Yes,Ventricose | Claviform | Metuloid,n/a,n/a,Yes | Sparse | No,n/a,n/a,Yes,n/a,Moist habitats,Willow | Birch | Alder,[7-40],[7-40],Equal | Slightly widening towards the base,[4.9-5.3],n/a,Weak | Fungoid,Clypeus,,,"The collections of Inocybe saliceticola date from late July to early October. At present, we know only localities from Finland and one locality from Sweden. In Finland, it has been collected from the eastern, southern and northern parts of the country, ranging from the hemiboreal to the northern boreal zone (Fig. 5). Most of the specimens were collected in the province of Pohjois Karjala, where the species is not rare in suitable habitats.","Vauras, Jukka & Kokkonen, Katri. Finnish records on the genus Inocybe. The new species Inocybe saliceticola. Karstenia 48: 57-67, 2009, pp. 57-67; p. 58-",,,,
sambucina (Fr.) Quel.,Leiospora,Irregular in outline,Subconical,[7.5-10.5],[3.5-5],[1.8-2.6],Smooth,Claviform,[22-28],[7-9],[4-4],Yes,Cylindrical | Claviform | Fusiform | Subutriform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Claviform | Fusiform | Subutriform | Metuloid,[40-74],[14-26],Yes,[2-3],n/a,Yes,Cylindrical | Claviform | Fusiform | Subutriform | Metuloid,n/a,n/a,n/a,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,Yes,n/a,Nutriment poor | Acid sand,Spruce | Pine | Oak | Beech,[26-45],[26-45],Subbulbous,n/a,n/a,Slightly desagreable,Inocybe,,,n/a,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 175-176",,,,
saponacea Kuyper,Leiospora,Regular | Subamygdaliform,Subobtuse,[7.5-9],[5-5.5],[1.4-1.7],Smooth,Claviform,[24-32],[8-10],[4-4],Yes,Cylindrical | Subfusiform | Sublageniform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Subfusiform | Sublageniform | Metuloid,[60-74],[12-18],Yes,[2-2.5],n/a,Yes,Cylindrical | Subfusiform | Sublageniform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Acid soil,Birch | Willow,n/a,n/a,Subbulbous,n/a,n/a,Strong | Soapy,Inocybe,,,"A collection from Greenland (Lyngmarksfjeld, 19. VIII. 1967, Lange 67.400, C) almost certainly belongs to the same species, but is unfortunately without macroscopical annotations.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 195",,,,
scabra (O.F. Muell.) Quel.,Leiospora,Inequilaterally | Amygdaliform,Conical | Subconical,[9-11],[5-6],n/a,Smooth,Claviform,[22-27],[9-10],[2-4],Yes,Ventricose | Metuloid,n/a,n/a,Yes | No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Metuloid,[50-70],[12-27],Yes,n/a,n/a,Yes,Ventricose | Metuloid,[50-65],[13-15],Yes | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil | Moss,Conifers | Spruce,[10-40],[10-40],Truncate,n/a,n/a,Aromatic | Transient spermatic,,,,"This Inocybe is distinguished by its uniformly dark brown pileus, paler brown stipe, sweet-aromatic odor, and non-rubescent context. Our material corresponds well enough to the description and illustration of Inocybe scabra given by Lange (Lange, J. 1938. Flora Agaricina Danica. Vol. III. Recato A/S Copenhagen. 96 p.; p. 71, pl. 111) to convince us that it is the same fungus. Whether or not the specific epithet is the correct one is, however, a different matter. Ever since the publication of Agricus scaber in Flora Danica, mycologists have held different opinions as to the exact agaric Mueller had in mind, and the application of the name has varied according to their different interpretations. If it is not possible for contemporary European agaricologists to reach a concensus, the name probably should no longer be used.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes II., Mycologia, vol. 62, 1970; p. 935-936",,,,
semifulva Grund & D.E. Stuntz,Leiospora,Inequilaterally | Amygdaliform,Conical,[9-11],[4.5-5.5],n/a,Smooth,Claviform,[24-31],[8-10],[4-4],Yes,Metuloid,[45-71],[20-33],Yes | No,n/a,n/a,Yes,Claviform,[27-40],[11-16.5],Yes,Cylindrical | Fusiform | Lageniform,[50-71],[13-21],Yes,[2-3.3],n/a,Yes,Versiform,[33-77],[11-15],Yes | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Grass,Hardwoods | Conifers,[10-40],[10-40],Bulbous,n/a,n/a,Spermatic,,,,"This Inocybe belongs to a group of species characterized by bicolorous pileus, incarnate stipe lacking dermatocaulocystidia at the base, possessing smooth spores, and thin-walled of thick-walled pleurocystidia. The best known species is Inocybe phaeodisca Kuehn. (Kuehner, R. 1955. Complement a la Flore Analytique. V. leiospores Cystidies. Bull. Soc. Nat. d'Oyonnax, Mem. Hors Ser. 1 : 1-95) which differs in having the stipe pallid externally but with incarnate context, and in having thin-walled pleurocystidia. The spores of the paratype collections are slightly, but not significantly, longer than those of the type, mostly 11 micron long as opposed to 10-10.5 micron. The sporocarps of the two western collections are longer than those of the Nova Scotian collections, with pilei 20-40 mm broad, stipes 40-90 x 4-9 mm ; these larger sizes are noted as extremes in the description of the type. In all other features the specimens of the four collections agree completely.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes VI., Mycologia, vol. 73, 1981; p. 659-661",,,,
serotina Peck,Leiospora,Subamygdaliform | Suprahilar depression,Subobtuse | Subconical,[11.5-19],[6.5-9],[1.7-2.5],Smooth,Claviform,[30-46],[10-15],[2-4],Yes,Claviform | Balloon-shaped | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Spheropedunculate | Claviform,n/a,n/a,Yes,Claviform | Balloon-shaped | Metuloid,[42-80],[17-37],Yes,[2-3],n/a,Yes | No,Claviform | Balloon-shaped | Metuloid,n/a,n/a,n/a,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,Yes,n/a,Moist places,Poplar | Willow | Pine | Ammophila arenaria,[31-44],[31-44],Equal | Subbulbous | Submarginate bulbous,n/a,n/a,Disagreeable sweetish | Strong,Inocybe,,,"1) Easily recognisable because of great spores, voluminous cystidia and specialised habitat. It could, however, be confused with some variants of I. inodora, but the latter species differs in having somewhat smaller spores with thinner wall, less broad cystidia, a more strongly rimulose pileus and in lacking a viscid velipellis. 2) Inocyba serotina is rather variable in several macroscopical characters. Stipe convering can be greatly different between the various collections, depending on the development and differentiation of the intermediate zone. Specimens with a bulbous stipe often possess caulocystidioid hairs almost all over, whereas specimens with an equal stipe can lack them alltogether. As intermediate cases also occur, no taxonomic significance can be attributed to this character, and I. psammophila M. Bon is therefore relegated to synonymy. The bulbous stipe can even seem to be marginate, as the outer side is covered with remnants of the (greasy) velipellis which is completely covered with grains of sand. 3) The development of the velipellis seems at least partly environmentally determined. Specimens growing in damp habitats have a more weakly developed velipellis, which causes a darker colour of the pileus (brown) without a persisting white centre. These variants, originally described as I. devoniensis, occur in dune valleys, associated with Salix repens, but do not deserve autonomous taxonomic status.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 167-169",,,,
"silvae-herbaceae Kokkonen & Vauras, sp. nov.",Goniospora,Strongly nodulose | With somewhat hemispherical,Subconical | Conical,[7.2-10.4],[5.1-8],[1.2-1.7],"Medium sized to large nodules | Often a prominent hilar nodule, at times spores slightly bent",Claviform,[19-40],[8-12],[4-4],Yes,Lageniform | Fusiform | Clavate | Metuloid,n/a,n/a,Yes | No,[1-2],n/a,Yes,n/a,n/a,n/a,Yes,Lageniform | Fusiform | Clavate | Metuloid,[40-73],[11-20],Yes | No,[1-2],n/a,Yes,Multiform | Fusiform | Capitate | Subglobose | Cylindrical | Utriform | Metuloid,n/a,n/a,No,[1-2],n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,n/a,Calcareous soil,Spruce,[10-43],[10-43],Equal | Subclavate,n/a,n/a,Spermatic | Acidulous,Clypeus,,,"Inocybe silvae-herbaceae can be easily confused with I. proximella. They both grow in spruce forests, preferring calcareous localities, sometimes sharing the site, and resemble each other in appearance and microscopic features. However, I. silvae-herbaceae is not as greyish as I. proximella, it has somewhat smaller spores, cheilocystidia with thinner walls, and perhaps the best distinguishing feature is the more variable caulocystidia. ITS sequencing shows that these fungi are not closely related. I. silvae-herbaceae can also be confused with the related I. amicta; see for comparison our comments about I. amicta. Compared with the type sequence, one collection deviated by a base and a gap (JV9200 - GenBank JN580853), three collections by an insertion of a base (KK&JV23073 - JN580854, Kytoevuori 93-146 - JN580855, Heinonen 353-94 - JN580857), and one collection by two gaps (JV4983 - JN580858), when loci with ambiguous bases were ignored. The type had one ambiguous base (T or G), and in that locus six specimens had base G and three had T (Kytoevuori 95-2143 in the phylogram - JN580856).","Kokkonen, Katri; Vauras, Jukka. Eleven new boreal species of Inocybe with nodulose spores, Mycol Progress (2012) 11:299-341; p. 321-323",,,,
similis Bres.,Leiospora,Regular,Obtuse,[11.5-17],[6.5-9],[1.4-2.2],Smooth,Claviform,[34-41],[10-13],[2-4],Yes,Cylindrical | Claviform | Subutriform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Claviform | Subutriform | Metuloid,[43-74],[14-22],Yes,[2-2.5],n/a,Yes,Cylindrical | Claviform | Subutriform | Metuloid,n/a,n/a,Yes,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Willow | Poplar | Dryas octopetala,[20-35],[20-35],Equal | Subbulbous,n/a,vulpinella,Not distinctive | Spermatic,Inocybe,,,"1) The macroscopical description of this species has been copied from Huijsman (in Persoonia 9 : 476. 1978). 2) Inocybe similis resembles I. vulpinella Bruylants very much, and both species seem to have comparable habitat preferences. Inocybe similis differs not only in covering of stipe but also because the pleurocystidia are somewhat larger and less thick-walled, and the spores have an almost obtuse apex. In I. vulpinella the apex of spore is partly subapplanate, suggesting an affinity with goniosporous species as I. decipiens Bres. and I. dunensis P. D. Orton.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 107-108",,,,
sindonia (Fr.) P. Karst.,Leiospora,Subamygdaliform,Subconical,[7-9.5],[4-5.5],[1.6-2],Smooth,Claviform,[26-34],[7-10],[2-4],Yes,Cylindrical | Fusiform | Sublageniform | Metuloid,n/a,n/a,Yes | Sparse,n/a,n/a,Yes,Pyriform | Claviform,n/a,n/a,Yes,Cylindrical | Fusiform | Sublageniform | Metuloid,[53-108],[10-18],Yes | Sparse,[3-3.5],n/a,Yes,Cylindrical | Fusiform | Sublageniform | Metuloid,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,n/a,Calcareous soil,Spruce | Pine | Beech | Oak | Birch | Basswood,[10-70],[10-70],Claviform | Subbulbous,n/a,n/a,Spermatic,Inocybe,,,"1) The correct nomenclature of this species has been questioned for a long time. According to Stangl & Veselsky (in Ceska Mykol. 28: 205. 1974) the name Agaricus sindonius must be considered a nomen dubium. They cited the opinion of Lundell (in Lundell & Nannfeldt, Fungi exs. succ. 47-48: 8. 1956) that A. sindonius could well refer to an unusually pale variant of Psathyrella candolleana (Fr.: Fr.) Maire because of its hollow stipe and subappendiculate cortina. However, both characters can (occasionally) be encountered in the taxon described above. And as this species is very common around Femsjoe, it seems very likely that it must have been described by Fries. As I cannot see any discrepancies between Frie's protologue of A. sindonius (Epicr.: 176. 1838) and the description above, the application of the epithet sindonius is necessary. Unfortunately, it means also the abandonment of the name I. kuehneri Stangl & Veselsky. Frie's wording makes clear that A. sindonius is only apparently superfluous, and the name is therefore not automatically typified with the type of A. pallidus Sow. (Art. 7.9). 2) Reumaux (in Bull. trimest. Soc. mycol. Fr. 100: 177. 1984) has subdivided this species in 7 varieties for which he provided a provisional key. However, none of these characters are sufficiently constant or clear-cut to allow taxonomic splitting, and these varieties are consequently reduced to insignificant variants. It seems that too much attention has been given to subtle differences in colour of stipe and degree of development of caulocystidioid hairs. 3) A collection from the Netherlands (prov. Friesland, Gaasterland, Oude Mirdum) consists of albinistic specimens. 4) Inocybe sindonia usually appears not before the second half of September and is one of the latest-fruiting Inocybes.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 177-180",,,,
sororia Kauffman,Leiospora,Ellipsoid | Elongate-ellipsoid | Subinequilateral,Obtuse,[9-16],[5.5-8],n/a,Smooth,Claviform,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Ground,Hardwoods | Conifers,[20-70],[20-70],Subbulbous,n/a,n/a,Green-corn | Not distinctive,,,,n/a,"Kauffman, Calvin Henry. North American Flora, vol. 10(4), The New York Botanical Garden, 1924; p. 259, no 100",,,,
splendens var. phaeoleuca (Kuehner) Kuyper,Leiospora,Subamygdaliform | Amygdaliform | Suprahilar depression,Subconical,[8-11.5],[5-6.5],[1.4-1.9],Smooth,Claviform,[24-30],[8-11],[2-4],Yes,Fusiform | Utriform | Claviform | Sublageniform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Spheropedunculate | Pyriform,n/a,n/a,Yes,Fusiform | Utriform | Claviform | Sublageniform | Metuloid,[49-78],[12-22],Yes,[2-2.5],n/a,Yes,Fusiform | Utriform | Claviform | Sublageniform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,Fusiform | Utriform | Claviform | Sublageniform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Calcereous sand | Loam,Beech | Oak | Blue-beech | Birch | Poplar | Alder | Willow | Pine,[12-46],[12-46],Equal | Subbulbous,n/a,n/a,Faint | Pelargonium | Subspermatic | Spermatic,Inocybe,,,"Although the extreme variants of I. splendens, I. terrifera, and I. phaeoleuca are very different, they are united here as there are no microscopical differences between thse taxa, and the macroscopical differences are at least partly phenotypically determined. Besides, several locally adapted ecotypes have been found. Recognition on specific level would ultimately result in a rather large number of species, the majority of these with a local distribution, but such a taxonomy would hardly possess any predictive value. Considering the above, it appears unavoidable to accep only one species with two rather well-delimited varieties.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 215-216",,,,
splendens var. splendens R. Heim,Leiospora,Subamygdaliform | Amygdaliform | Suprahilar depression,Subconical,[8-12],[5-7],[1.5-1.9],Smooth,Claviform,[25-38],[8-12],[4-4],Yes,Claviform | Fusiform | Utriform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Pyriform,n/a,n/a,Yes,Claviform | Fusiform | Utriform | Metuloid,[49-82],[14-29],Yes,[2-3],n/a,Yes,Claviform | Fusiform | Utriform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,Claviform | Fusiform | Utriform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Calcereous sand | Clay,Beech | Oak | Basswood | Birch | Poplar | Alder | Willow,[23-78],[23-78],Equal | Submarginately | Marginately bulbous,n/a,n/a,Pelargonium | Spermatic,Inocybe,,,"Although the extreme variants of I. splendens, I. terrifera, and I. phaeoleuca are very different, they are united here as there are no microscopical differences between thse taxa, and the macroscopical differences are at least partly phenotypically determined. Besides, several locally adapted ecotypes have been found. Recognition on specific level would ultimately result in a rather large number of species, the majority of these with a local distribution, but such a taxonomy would hardly possess any predictive value. Considering the above, it appears unavoidable to accep only one species with two rather well-delimited varieties.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 215-216","1) The collection from France is characterised by the complete lack of pleurocystidia and the extreme scarcety of cheilocystidia. More material of this variant seems needed for a better evaluation of the relevance of this character state difference. 2) Inocybe splendens var. splendens is rather variable is outward aspect and in colour of the pileus. Specimens with a well-development subvicid velipellis are rather pale and bear conspicuous clods of earth, whereas specimens with a weakly developed, more innate velipellis are much darker (even to dark brown) and have a smooth pileus. The former type is expecially encountered on clayey soils and seems somewhat more xerophytic. This type probably consists of several locally adapted ecotypes. 3) Considering the rather robust specimens as depicted by Furrer-Ziogas (in Schweiz. Z. Pilzk. 43: pl. 1, f. 5-7, 1965) and Stangl (in Z. Pilzk. 37: pl. 7. 1971). I am convinced that their specimens refer to var. splendens, and not to var. phaeoleuca. Furrer-Ziogas (l.c.) also depicted clods of earth which is another indication of his misappliction. His statement that I. terrifera and I. phaeoleuca are extremely close and may probably not deserve specific rank, is correct.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 216-217",,
squalida C. Kaufholtz-Couture nom. prov.,Goniospora,Subcylindrical | Subamygdaliform | Laceroid | Rectangle | Subrectangle,Conical | Subconical,[9.5-15.5],[5.8-7.1],[1.6-2.6],Angular | Nodulose,Claviform | Cylindrical,[31-35],[9.5-11],[4-4],Yes,Fusiform | Metuloid,[35.6-53.6],[15.6-21.3],Yes | Sparse,[1-4],n/a,Yes,Ellipsoid | Ovoid | Pyriform | Subcylindrical,[14-25],[6.1-11.4],Yes,Fusiform | Metuloid,[55.6-59.6],[16.1-22],Yes,[2-3.7],Ammonioca -,Yes,Fusiform | Cylindrical | Claviform | Metuloid,[38.5-45.6],[12-16.9],Yes,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,PDAB -,Sandy soil,Beech | Birch | Oak,[8-15],[8-15],Subbulbous,n/a,n/a,Spermatic,Clypeus,,,"Correspondence with B. Matheny and Thomas Kuyper. Both find similarities with Inocybe curvipes by microscopy, but the macromorphology is very different.","Kaufholtz-Couture, C. Taxonomy, macromorphological and microscopic descriptions, Fungiquebec, 2018; Collections examined : cKc0556; cKc0624; cKc0638; cKc0641",,,,
